Wavelength,Reflectance
400,0.70243184056
410,0.776542287713
420,0.793058432078
430,0.735768003259
440,0.890104573388
450,0.993175567854
460,1.0
470,0.974951617832
480,0.983965979696
490,0.923598614742
500,0.928207652871
510,0.915034122161
520,0.889467965912
530,0.914074966896
540,0.886200047533
550,0.883152819747
560,0.848809968424
570,0.817694292602
580,0.813058092554
590,0.752772213357
600,0.7639815978
610,0.760526092418
620,0.744395307778
630,0.706961939361
640,0.710447153091
650,0.679275455811
660,0.680869520932
670,0.6983821682
680,0.664484093301
690,0.591801344515
700,0.607825179099
710,0.631081723424
720,0.522900892948
